trial_id,word,condition,reality,category,trial_n,prompt
r00323,wresanthamulf,real_object,real,object,3,Describe a wresanthamulf. It is a real object.
r00324,wresanthamulf,real_object,real,object,4,Describe a wresanthamulf. It is a real object.
r00325,wresanthamulf,real_object,real,object,5,Describe a wresanthamulf. It is a real object.
r00326,wresanthamulf,real_object,real,object,6,Describe a wresanthamulf. It is a real object.
r00327,wresanthamulf,real_object,real,object,7,Describe a wresanthamulf. It is a real object.
r00328,wresanthamulf,real_object,real,object,8,Describe a wresanthamulf. It is a real object.
r00329,wresanthamulf,real_object,real,object,9,Describe a wresanthamulf. It is a real object.
r00230,borthorpunius,real_idea,real,idea,0,Describe a borthorpunius. It is a real idea.
r00231,borthorpunius,real_idea,real,idea,1,Describe a borthorpunius. It is a real idea.
r00232,borthorpunius,real_idea,real,idea,2,Describe a borthorpunius. It is a real idea.
r00233,borthorpunius,real_idea,real,idea,3,Describe a borthorpunius. It is a real idea.
r00234,borthorpunius,real_idea,real,idea,4,Describe a borthorpunius. It is a real idea.
r00235,borthorpunius,real_idea,real,idea,5,Describe a borthorpunius. It is a real idea.
r00236,borthorpunius,real_idea,real,idea,6,Describe a borthorpunius. It is a real idea.
r00237,borthorpunius,real_idea,real,idea,7,Describe a borthorpunius. It is a real idea.
r00238,borthorpunius,real_idea,real,idea,8,Describe a borthorpunius. It is a real idea.
r00239,borthorpunius,real_idea,real,idea,9,Describe a borthorpunius. It is a real idea.
r00430,flembrast,real_idea,real,idea,0,Describe a flembrast. It is a real idea.
r00431,flembrast,real_idea,real,idea,1,Describe a flembrast. It is a real idea.
r00432,flembrast,real_idea,real,idea,2,Describe a flembrast. It is a real idea.
r00433,flembrast,real_idea,real,idea,3,Describe a flembrast. It is a real idea.
r00434,flembrast,real_idea,real,idea,4,Describe a flembrast. It is a real idea.
r00435,flembrast,real_idea,real,idea,5,Describe a flembrast. It is a real idea.
r00436,flembrast,real_idea,real,idea,6,Describe a flembrast. It is a real idea.
r00437,flembrast,real_idea,real,idea,7,Describe a flembrast. It is a real idea.
r00438,flembrast,real_idea,real,idea,8,Describe a flembrast. It is a real idea.
r00439,flembrast,real_idea,real,idea,9,Describe a flembrast. It is a real idea.
r00030,halthibinny,real_idea,real,idea,0,Describe a halthibinny. It is a real idea.
r00031,halthibinny,real_idea,real,idea,1,Describe a halthibinny. It is a real idea.
r00032,halthibinny,real_idea,real,idea,2,Describe a halthibinny. It is a real idea.
r00033,halthibinny,real_idea,real,idea,3,Describe a halthibinny. It is a real idea.
r00034,halthibinny,real_idea,real,idea,4,Describe a halthibinny. It is a real idea.
r00035,halthibinny,real_idea,real,idea,5,Describe a halthibinny. It is a real idea.
r00036,halthibinny,real_idea,real,idea,6,Describe a halthibinny. It is a real idea.
r00037,halthibinny,real_idea,real,idea,7,Describe a halthibinny. It is a real idea.
r00038,halthibinny,real_idea,real,idea,8,Describe a halthibinny. It is a real idea.
r00039,halthibinny,real_idea,real,idea,9,Describe a halthibinny. It is a real idea.
r00630,kovashent,real_idea,real,idea,0,Describe a kovashent. It is a real idea.
r00631,kovashent,real_idea,real,idea,1,Describe a kovashent. It is a real idea.
r00632,kovashent,real_idea,real,idea,2,Describe a kovashent. It is a real idea.
r00633,kovashent,real_idea,real,idea,3,Describe a kovashent. It is a real idea.
r00634,kovashent,real_idea,real,idea,4,Describe a kovashent. It is a real idea.
r00635,kovashent,real_idea,real,idea,5,Describe a kovashent. It is a real idea.
r00636,kovashent,real_idea,real,idea,6,Describe a kovashent. It is a real idea.
r00637,kovashent,real_idea,real,idea,7,Describe a kovashent. It is a real idea.
r00638,kovashent,real_idea,real,idea,8,Describe a kovashent. It is a real idea.
r00639,kovashent,real_idea,real,idea,9,Describe a kovashent. It is a real idea.
r00730,plindorf,real_idea,real,idea,0,Describe a plindorf. It is a real idea.
r00731,plindorf,real_idea,real,idea,1,Describe a plindorf. It is a real idea.
r00732,plindorf,real_idea,real,idea,2,Describe a plindorf. It is a real idea.
r00733,plindorf,real_idea,real,idea,3,Describe a plindorf. It is a real idea.
r00734,plindorf,real_idea,real,idea,4,Describe a plindorf. It is a real idea.
r00735,plindorf,real_idea,real,idea,5,Describe a plindorf. It is a real idea.
r00736,plindorf,real_idea,real,idea,6,Describe a plindorf. It is a real idea.
r00737,plindorf,real_idea,real,idea,7,Describe a plindorf. It is a real idea.
r00738,plindorf,real_idea,real,idea,8,Describe a plindorf. It is a real idea.
r00739,plindorf,real_idea,real,idea,9,Describe a plindorf. It is a real idea.
r00130,purtaneolotomous,real_idea,real,idea,0,Describe a purtaneolotomous. It is a real idea.
r00131,purtaneolotomous,real_idea,real,idea,1,Describe a purtaneolotomous. It is a real idea.
r00132,purtaneolotomous,real_idea,real,idea,2,Describe a purtaneolotomous. It is a real idea.
r00133,purtaneolotomous,real_idea,real,idea,3,Describe a purtaneolotomous. It is a real idea.
r00134,purtaneolotomous,real_idea,real,idea,4,Describe a purtaneolotomous. It is a real idea.
r00135,purtaneolotomous,real_idea,real,idea,5,Describe a purtaneolotomous. It is a real idea.
r00136,purtaneolotomous,real_idea,real,idea,6,Describe a purtaneolotomous. It is a real idea.
r00137,purtaneolotomous,real_idea,real,idea,7,Describe a purtaneolotomous. It is a real idea.
r00138,purtaneolotomous,real_idea,real,idea,8,Describe a purtaneolotomous. It is a real idea.
r00139,purtaneolotomous,real_idea,real,idea,9,Describe a purtaneolotomous. It is a real idea.
r00530,trolnique,real_idea,real,idea,0,Describe a trolnique. It is a real idea.
r00531,trolnique,real_idea,real,idea,1,Describe a trolnique. It is a real idea.
r00532,trolnique,real_idea,real,idea,2,Describe a trolnique. It is a real idea.
r00533,trolnique,real_idea,real,idea,3,Describe a trolnique. It is a real idea.
r00534,trolnique,real_idea,real,idea,4,Describe a trolnique. It is a real idea.
r00535,trolnique,real_idea,real,idea,5,Describe a trolnique. It is a real idea.
r00536,trolnique,real_idea,real,idea,6,Describe a trolnique. It is a real idea.
r00537,trolnique,real_idea,real,idea,7,Describe a trolnique. It is a real idea.
r00538,trolnique,real_idea,real,idea,8,Describe a trolnique. It is a real idea.
r00539,trolnique,real_idea,real,idea,9,Describe a trolnique. It is a real idea.
r00330,wresanthamulf,real_idea,real,idea,0,Describe a wresanthamulf. It is a real idea.
r00331,wresanthamulf,real_idea,real,idea,1,Describe a wresanthamulf. It is a real idea.
r00332,wresanthamulf,real_idea,real,idea,2,Describe a wresanthamulf. It is a real idea.
r00333,wresanthamulf,real_idea,real,idea,3,Describe a wresanthamulf. It is a real idea.
r00334,wresanthamulf,real_idea,real,idea,4,Describe a wresanthamulf. It is a real idea.
r00335,wresanthamulf,real_idea,real,idea,5,Describe a wresanthamulf. It is a real idea.
r00336,wresanthamulf,real_idea,real,idea,6,Describe a wresanthamulf. It is a real idea.
r00337,wresanthamulf,real_idea,real,idea,7,Describe a wresanthamulf. It is a real idea.
r00338,wresanthamulf,real_idea,real,idea,8,Describe a wresanthamulf. It is a real idea.
r00339,wresanthamulf,real_idea,real,idea,9,Describe a wresanthamulf. It is a real idea.
r00240,borthorpunius,imaginary_animal,imaginary,animal,0,Describe a borthorpunius. It is an imaginary animal.
r00241,borthorpunius,imaginary_animal,imaginary,animal,1,Describe a borthorpunius. It is an imaginary animal.
r00242,borthorpunius,imaginary_animal,imaginary,animal,2,Describe a borthorpunius. It is an imaginary animal.
r00243,borthorpunius,imaginary_animal,imaginary,animal,3,Describe a borthorpunius. It is an imaginary animal.
r00244,borthorpunius,imaginary_animal,imaginary,animal,4,Describe a borthorpunius. It is an imaginary animal.
r00245,borthorpunius,imaginary_animal,imaginary,animal,5,Describe a borthorpunius. It is an imaginary animal.
r00246,borthorpunius,imaginary_animal,imaginary,animal,6,Describe a borthorpunius. It is an imaginary animal.
r00247,borthorpunius,imaginary_animal,imaginary,animal,7,Describe a borthorpunius. It is an imaginary animal.
r00248,borthorpunius,imaginary_animal,imaginary,animal,8,Describe a borthorpunius. It is an imaginary animal.
r00249,borthorpunius,imaginary_animal,imaginary,animal,9,Describe a borthorpunius. It is an imaginary animal.
r00440,flembrast,imaginary_animal,imaginary,animal,0,Describe a flembrast. It is an imaginary animal.
r00441,flembrast,imaginary_animal,imaginary,animal,1,Describe a flembrast. It is an imaginary animal.
r00442,flembrast,imaginary_animal,imaginary,animal,2,Describe a flembrast. It is an imaginary animal.
r00443,flembrast,imaginary_animal,imaginary,animal,3,Describe a flembrast. It is an imaginary animal.
r00444,flembrast,imaginary_animal,imaginary,animal,4,Describe a flembrast. It is an imaginary animal.
r00445,flembrast,imaginary_animal,imaginary,animal,5,Describe a flembrast. It is an imaginary animal.
r00446,flembrast,imaginary_animal,imaginary,animal,6,Describe a flembrast. It is an imaginary animal.
r00447,flembrast,imaginary_animal,imaginary,animal,7,Describe a flembrast. It is an imaginary animal.
r00448,flembrast,imaginary_animal,imaginary,animal,8,Describe a flembrast. It is an imaginary animal.
r00449,flembrast,imaginary_animal,imaginary,animal,9,Describe a flembrast. It is an imaginary animal.
r00040,halthibinny,imaginary_animal,imaginary,animal,0,Describe a halthibinny. It is an imaginary animal.
r00041,halthibinny,imaginary_animal,imaginary,animal,1,Describe a halthibinny. It is an imaginary animal.
r00042,halthibinny,imaginary_animal,imaginary,animal,2,Describe a halthibinny. It is an imaginary animal.
r00043,halthibinny,imaginary_animal,imaginary,animal,3,Describe a halthibinny. It is an imaginary animal.
r00044,halthibinny,imaginary_animal,imaginary,animal,4,Describe a halthibinny. It is an imaginary animal.
r00045,halthibinny,imaginary_animal,imaginary,animal,5,Describe a halthibinny. It is an imaginary animal.
r00046,halthibinny,imaginary_animal,imaginary,animal,6,Describe a halthibinny. It is an imaginary animal.
r00047,halthibinny,imaginary_animal,imaginary,animal,7,Describe a halthibinny. It is an imaginary animal.
r00048,halthibinny,imaginary_animal,imaginary,animal,8,Describe a halthibinny. It is an imaginary animal.
r00049,halthibinny,imaginary_animal,imaginary,animal,9,Describe a halthibinny. It is an imaginary animal.
r00640,kovashent,imaginary_animal,imaginary,animal,0,Describe a kovashent. It is an imaginary animal.
r00641,kovashent,imaginary_animal,imaginary,animal,1,Describe a kovashent. It is an imaginary animal.
r00642,kovashent,imaginary_animal,imaginary,animal,2,Describe a kovashent. It is an imaginary animal.
r00643,kovashent,imaginary_animal,imaginary,animal,3,Describe a kovashent. It is an imaginary animal.
r00644,kovashent,imaginary_animal,imaginary,animal,4,Describe a kovashent. It is an imaginary animal.
r00645,kovashent,imaginary_animal,imaginary,animal,5,Describe a kovashent. It is an imaginary animal.
r00646,kovashent,imaginary_animal,imaginary,animal,6,Describe a kovashent. It is an imaginary animal.
r00647,kovashent,imaginary_animal,imaginary,animal,7,Describe a kovashent. It is an imaginary animal.
r00648,kovashent,imaginary_animal,imaginary,animal,8,Describe a kovashent. It is an imaginary animal.
r00649,kovashent,imaginary_animal,imaginary,animal,9,Describe a kovashent. It is an imaginary animal.
r00740,plindorf,imaginary_animal,imaginary,animal,0,Describe a plindorf. It is an imaginary animal.
r00741,plindorf,imaginary_animal,imaginary,animal,1,Describe a plindorf. It is an imaginary animal.
r00742,plindorf,imaginary_animal,imaginary,animal,2,Describe a plindorf. It is an imaginary animal.
